dataset,tag,model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
devign,codebert_fullfunc,microsoft/codebert-base,0.644667438569407,0.015445557591918265,nan,nan,0.6328267713311467,0.04438881454611881,0.5574372001128987,0.08477649268441402,0.5858122010798502,0.02597053430962686,0.2845623948613514,0.024598664141101935,0.7183428316348488,0.008775576868973263,0.7093021015591362,0.005802947952154925
devign,codebert_sliced,microsoft/codebert-base,0.6266563746301299,0.0031565275045375716,nan,nan,0.5921718402947072,0.008137511198841716,0.5839683883714367,0.032533139223073826,0.587350314368295,0.013233646039276436,0.24711965639934816,0.005686303673791449,0.6941870194550036,0.004881857170827217,0.6813939090606201,0.007530445554309952
devign,graphcodebert_fullfunc,microsoft/graphcodebert-base,0.6509713109481537,0.006257757111547832,0.648647417843195,0.011580913384385442,0.6183494648383954,0.015263370644565148,0.6223539373412362,0.08755745236895104,0.6161741750738176,0.036317181850027656,0.30036458410187156,0.019942522515637728,0.7288656285593609,0.009194198119404034,0.7192863187359837,0.006947640856029848
devign,unixcoder_focal,microsoft/unixcoder-base,0.6402933230412967,0.00712356526432889,0.6489671973304668,0.005720003694425774,0.5823791264625369,0.008286106448208848,0.747106971493085,0.011261607306384421,0.6544041061075735,0.0019460952421598916,0.3012771919430464,0.009786935815078519,0.7327340095243242,0.002722701905462774,0.7279251562916862,0.0013911457505757
devign,unixcoder_fullfunc,microsoft/unixcoder-base,0.6597195420043741,0.008655030588732349,nan,nan,0.6084657444703555,0.012777541984396953,0.7143663561953147,0.030185883651820785,0.6566233761107241,0.009185846771077233,0.32852362897643556,0.014381256068778922,0.7455979526105816,0.007690641324679165,0.7392035330966514,0.0070590296598203985
devign,unixcoder_oversample,microsoft/unixcoder-base,0.6738710922423774,0.007018233215996875,0.6715212095371355,0.0049624363757415175,0.6422823482293323,0.015248098915739609,0.6449336720293536,0.01837423742451008,0.6431672124360824,0.0016580250144348238,0.3433398876324301,0.011428778378867343,0.7550681295452225,0.005903398746733492,0.7476906288206021,0.004456165049031715
devign,vulberta_fullfunc,claudios/VulBERTa-mlm,0.5924353531455037,0.008150795863351193,nan,nan,0.5440543003939938,0.010887060595049214,0.6655376799322608,0.04319757599708493,0.5976368538512409,0.012465103368621203,0.19814628868802975,0.009158263738723646,0.6521862107481939,0.0077834930934020516,0.6082438781942362,0.011160172319924585
diversevul,codebert_fullfunc,microsoft/codebert-base,0.8091658635828246,0.014747951050208789,nan,nan,0.1568922969714187,0.0034563050493774364,0.4047619047619048,0.04416311507657082,0.22546768947005083,0.007190710061735649,0.16144105505307418,0.010554709009573766,0.7127793492019258,0.006488975045692968,0.15763481586962355,0.006934584071525052
diversevul,codebert_sliced,microsoft/codebert-base,0.8034157832744405,0.034398540824097774,nan,nan,0.1607115956905852,0.012525501052172462,0.42841581076875196,0.0762238173836401,0.2306013053972733,0.007711425594538023,0.1700226245064882,0.010814538637850495,0.6799854982546197,0.04393072305558757,0.15579527181225833,0.01130185971429784
diversevul,graphcodebert_fullfunc,microsoft/graphcodebert-base,0.8299175500588928,0.0052202399056461265,nan,nan,0.17404929267758773,0.0024612458674825102,0.3926237161531279,0.012988261198173262,0.24107855536308498,0.0017324652920488784,0.17815292284976428,0.00230570073894744,0.7234879374836881,0.005135252252583875,0.16202632768629585,0.001620545023595194
diversevul,unixcoder_focal,microsoft/unixcoder-base,0.777877717100332,0.016773709480372,0.6600863870991875,0.005035659341403626,0.16045223445473797,0.007098893276042319,0.5234982882041707,0.02784036849109408,0.2452307331663587,0.005672857400339875,0.19439237116318073,0.005044804434488821,0.7317461466287756,0.003180693055727659,0.17749330980677536,0.007161259555541349
diversevul,unixcoder_fullfunc,microsoft/unixcoder-base,0.7898383124531535,0.030033283770755783,nan,nan,0.1639993613948701,0.009075609376524072,0.4939309056956116,0.060914381962949536,0.2448552981032008,0.004238593250928119,0.19122788606928962,0.004239506847755611,0.7299656063612142,0.0009694445991209383,0.17511301444065894,0.0008685680852818703
diversevul,unixcoder_oversample,microsoft/unixcoder-base,0.8925259663775565,0.004546435040704352,0.5805540459748286,0.006896965634359478,0.21926039157772537,0.0036131820117834535,0.21879863056333645,0.02011747601766862,0.21838290198731589,0.008933993513700583,0.16112055174721654,0.006018689811730013,0.7078004894520248,0.011301872570823948,0.15922729435340674,0.00754636483094353
diversevul,vulberta_fullfunc,claudios/VulBERTa-mlm,0.7529607024306672,0.013767104835930069,nan,nan,0.1409277866286837,0.005632906524380142,0.5068471833177716,0.019121369299777955,0.22038886601798277,0.006554259365846633,0.1631705775088361,0.00797947899350308,0.6992728963777836,0.005072730356275782,0.15494424086748235,0.004187447633713476
